state,financial_anxiety,food_insecurity,housing_stress,affordability,unemployment_rate,poverty_rate,rent_burden_pct,fair_market_rent_2br,housing_price_change,regional_stress_multiplier
Alabama,134,145,167,158,2.8,15.2,29.3,980,14.101454476367401,1.25
Alaska,153,94,155,131,4.7,10.3,26.5,1350,17.03766718654,1.08
Arizona,156,106,160,138,4.7,11.9,31.2,1390,10.376918797828994,1.1
Arkansas,164,142,156,150,4.3,15.3,28.1,850,15.292133477894222,1.22
California,181,117,197,175,5.3,11.8,33.1,1850,10.410426251003166,1.12
Colorado,130,84,149,123,3.9,9.6,31.2,1650,6.157341875884679,1.02
Connecticut,150,87,186,146,5,10.1,32.1,1400,27.01030927835051,1.02
Delaware,152,86,152,126,5.3,10.1,30.1,1275,17.00374305723257,1
District of Columbia,199,146,159,154,6.2,16.4,29,1750,2.33419606862113,1.18
Florida,175,122,187,171,4.8,12.1,36.1,1550,8.898622785209737,1.15
Georgia,132,112,165,144,3.5,12.8,31.6,1275,13.82695250047275,1.1
Hawaii,122,102,200,161,2.5,10,32.6,1950,10.855570069042722,1.2
Idaho,128,92,141,121,3.6,10.4,29.3,1200,10.561285831804094,1.05
Illinois,156,109,166,143,5.1,11.5,29.4,1175,23.083796885820888,1.05
Indiana,119,102,150,131,3.2,12.1,29.3,975,19.17558693892238,1.04
Iowa,107,85,115,103,3.3,11.2,27.2,875,14.794676994885556,0.92
Kansas,127,90,138,119,3.9,10.9,27.1,950,19.952150725215574,1
Kentucky,159,139,159,151,4.3,15.4,27.9,900,18.04229681043781,1.18
Louisiana,177,160,166,174,4.4,18.6,32.5,975,6.27819124943617,1.3
Maine,107,84,151,124,3.1,10.6,30.1,1175,21.99828018800138,0.95
Maryland,136,80,160,128,4.4,9.2,30.8,1600,14.861308280031277,1
Massachusetts,144,85,178,141,4.7,9.8,31.1,1750,18.712244528847897,1.02
Michigan,159,114,168,146,5,13.4,30.7,1075,21.428722526600797,1.08
Minnesota,155,90,153,128,4.5,9.3,29.1,1150,12.98980641541196,1.12
Mississippi,169,160,182,183,3.8,17.8,30.2,925,14.035323530202417,1.35
Missouri,132,103,145,128,3.8,12.2,27.9,975,18.268028345143815,1.05
Montana,120,87,133,115,3.5,10.4,27,1100,14.963719203509951,1
Nebraska,105,84,127,110,3,10.6,28.5,975,15.237048930955815,0.95
Nevada,171,107,179,150,5.3,11.8,34,1450,12.236922807324987,1.12
New Hampshire,99,61,146,112,3.1,7.3,29.8,1400,22.49881748766807,0.88
New Jersey,151,84,193,149,4.8,9.2,31.2,1550,26.93905445969125,1.05
New Mexico,171,141,161,153,4.9,15.8,29.3,1025,14.737363113283433,1.18
New York,171,135,200,184,4.6,14,30.9,1500,23.978400154284618,1.15
North Carolina,133,109,158,138,3.7,12.6,30.8,1175,14.817779375010218,1.08
North Dakota,85,76,100,90,2.4,10.8,24.2,925,14.669530154277698,0.85
Ohio,135,107,155,136,3.9,12.6,29,950,21.490709659117766,1.06
Oklahoma,148,131,146,140,4,14.8,28.4,925,12.972849516087589,1.15
Oregon,158,100,149,129,5.2,11.7,31.2,1450,7.53564412901591,1.05
Pennsylvania,135,96,154,131,4.2,11.6,29.7,1125,19.813620309416798,1.02
Rhode Island,135,95,164,136,4.5,12,30.5,1275,24.32254669823729,0.98
South Carolina,165,121,177,155,4.8,13.3,31.4,1125,18.60588215833527,1.15
South Dakota,85,77,108,96,2.2,10.5,26.9,875,13.849944167744905,0.88
Tennessee,136,117,158,142,3.6,13.3,30.1,1125,13.977241457453186,1.12
Texas,151,121,142,144,4.3,13.4,31.4,1275,6.784619109102634,1.05
Utah,128,77,143,117,3.8,8.4,29.4,1350,10.865352316477614,1.02
Vermont,95,74,148,118,2.6,9.3,29.5,1275,22.195707349370995,0.92
Virginia,123,82,155,126,3.8,9.8,29.7,1450,17.908133501182103,0.98
Washington,154,87,156,128,5.2,10,30.4,1650,10.909501581087193,1.02
West Virginia,174,156,170,164,4.4,16.2,28.4,800,18.0570532300755,1.28
Wisconsin,114,82,141,117,3.5,10.3,27.9,1000,23.23006243373778,0.95
Wyoming,114,81,122,106,3.5,10,26.5,975,15.485348392547463,0.95
